Precio	Expensas	Calle	Altura	Piso	Ubicacion	Detalles	Caracteristicas	Descripción	Publicado	Visualizaciones	Link	Amenities	Losa_Central	Aire_Acond	Apto_Credito	Cochera	Seguridad	Luminoso	Balcon_Aterrazado
USD 232.300	N/A	Avenida Cabildo al	4600	0	Núñez, Capital Federal	69 m² tot. | 3 amb. | 2 dorm. | 1 baño	Apto profesional | Cantidad plantas: 1 | Parrilla | Pileta | Solarium | Superficie Semicubierta (m²): 7 | Encargado / Vigilancia | Lavadero | Balcón | Aire acondicionado | Vigilancia | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-nunez-full-amenities-58602816.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=1	1	0	1	0	0	1	0	1
USD 100.000	$ 180.000 Expensas	Vidt	1700	0	Palermo, Capital Federal	41 m² tot. | 2 amb. | 1 dorm. | 1 baño	Apto profesional | Cantidad plantas: 1 | Departamentos por piso: 2 | Ascensor | Cocina | Comedor | Balcón | Living | Living comedor | Hall | Cocina equipada	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-ambientes-reciclado-super-luminoso-apto-prof.-58542614.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=2	0	0	0	0	0	0	0	1
USD 920.000	N/A	Av Cordoba al	5400	0	Palermo, Capital Federal	449 m² tot.	Frente del terreno (mts): 8 | Largo del terreno (mts): 53	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/vecltrin-terreno-venta-palermo-57483197.html?n_src=Listado&n_pg=1&n_pos=3	0	0	0	0	0	0	0	0
USD 118.000	N/A	Rio de Janeiro	570	0	Caballito, Capital Federal	39 m² tot. | 2 amb. | 1 dorm. | 1 baño	Apto profesional | Cantidad pisos en edificio: 14 | Cantidad plantas | Sala de juegos | Parrilla | Permite mascotas | Pileta | Solarium | Departamentos por piso: 5 | Servicio de limpieza | Laundry | Internet / Wifi | Living comedor | Cocina equipada | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-hermoso-departamento-2-ambientes-a-estrenar-en-57626063.html?n_src=Listado&n_pills=Laundry&n_pg=1&n_pos=5	1	0	0	0	0	0	0	0
USD 140.000	$ 300.000 Expensas	Cullen al	4900	0	Villa Urquiza, Capital Federal	60 m² tot. | 3 amb. | 2 dorm. | 1 baño | 1 coch.	Cantidad plantas: 1 | Apto crédito | Permite mascotas | Cobertura cochera: Descubierta | Superficie Semicubierta (m²): 6 | Encargado / Vigilancia | Ascensor | Cocina | Comedor | Comedor de diario | Terraza | Balcón | Living | Living comedor | Hall | Aire acondicionado | Calefacción | Vigilancia	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-ambientes-en-villa-urquiza-con-57897018.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=6	0	0	1	1	1	1	0	1
USD 140.000	$ 240.000 Expensas	Avenida Santa Fe	5300	5º	Belgrano, Capital Federal	88 m² tot. | 3 amb. | 2 dorm. | 1 baño	Apto profesional | Cantidad plantas: 1 | Apto crédito | Permite mascotas | Superficie Semicubierta (m²): 0 | Cocina | Balcón | Aire acondicionado | Calefacción	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-3-ambientes-con-2-patios.-excelente-ubicacion!-56273143.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=1&n_pos=7	0	0	1	1	0	0	0	1
USD 59.000	N/A	Terrada	26	0	Flores, Capital Federal	28 m² tot. | 2 amb. | 1 dorm. | 1 baño	Cantidad plantas: 1 | Superficie Semicubierta (m²): 0 | Internet / Wifi | Ascensor | Cocina | Living comedor | Termotanque	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-flores-luminoso-57605969.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=9	0	0	0	0	0	0	0	0
USD 720.000	$ 850.000 Expensas	Seguí al 4500 Esquina Oro	N/A	N/A	Palermo Nuevo, Palermo	195 m² tot. | 6 amb. | 4 dorm. | 3 baños | 1 coch.	Cantidad plantas: 5 o más | Apto crédito | Cobertura cochera: Cubierta | Superficie Semicubierta (m²): 10 | Encargado / Vigilancia | Ascensor | Cocina | Comedor | Comedor de diario | Lavadero | Balcón | Living | Baulera | Living comedor | Dormitorio en suite | Vigilancia	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-6-ambientes-en-segui-y-oro-con-cochera-palermo-56286978.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=10	0	0	0	1	1	1	0	1
USD 1.500.000	$ 1.400.000 Expensas	Godoy Cruz al	3000	0	Palermo, Capital Federal	254 m² tot. | 4 amb. | 3 dorm. | 2 baños | 3 coch.	Cantidad plantas: 3 | Apto crédito | Parrilla | Permite mascotas | Gimnasio | Pileta | Cobertura cochera: Cubierta | Solarium | Superficie Semicubierta (m²): 0 | Laundry | Encargado / Vigilancia | Ascensor | Cocina | Comedor | Comedor de diario | Dependencia servicio | Terraza | Lavadero | Balcón | Living | Baulera | Living comedor | Dormitorio en suite | Vestidor | Hall | Aire acondicionado | Sauna | Quincho | Vigilancia | SUM	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-quartier-demaria-piso-alto-3-dorm.-y-dependencia-58340272.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=11	1	0	1	1	1	1	0	1
USD 230.000	$ 180.000 Expensas	Av Comodoro Martín Rivadavia al	1600	0	Núñez, Capital Federal	60 m² tot. | 2 amb. | 1 dorm. | 1 baño	Cantidad plantas: 1 | Apto crédito | Superficie Semicubierta (m²): 8 | Ascensor | Cocina | Balcón | Living | Living comedor | Dormitorio en suite	Sin descripción	N/A		https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-amplio-balcon-nunez-57661925.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=13	0	0	0	1	0	0	0	1
